   90.500   32.500    0.000    3.271	0
   90.500   32.000    0.000    3.287	0
   90.500   31.500    0.000    3.315	0
   90.500   31.000    0.000    3.346	0
   90.500   30.500    0.000    3.370	0
   90.500   30.000    0.000    3.377	0
   90.500   29.500    0.000    3.364	0
   90.500   29.000    0.000    3.329	0
   90.500   28.500    0.000    3.291	0
   90.500   28.000    0.000    3.268	0
   91.000   32.500    0.000    3.275	0
   91.000   32.000    0.000    3.290	0
   91.000   31.500    0.000    3.314	0
   91.000   31.000    0.000    3.339	0
   91.000   30.500    0.000    3.330	0
   91.000   30.000    0.000    3.313	1
   91.000   29.500    0.000    3.429	1
   91.000   29.000    0.000    3.354	0
   91.000   28.500    0.000    3.298	0
   91.000   28.000    0.000    3.274	0
   91.500   32.500    0.000    3.286	0
   91.500   32.000    0.000    3.301	0
   91.500   31.500    0.000    3.321	0
   91.500   31.000    0.000    3.321	0
   91.500   30.500    0.000    3.140	1
   91.500   30.000    0.000    3.302	1
   91.500   29.500    0.000    3.816	1
   91.500   29.000    0.000    3.427	0
   91.500   28.500    0.000    3.299	0
   91.500   28.000    0.000    3.291	0
   92.000   32.500    0.000    3.303	0
   92.000   32.000    0.000    3.324	0
   92.000   31.500    0.000    3.244	1
   92.000   31.000    0.000    3.320	1
   92.000   30.500    0.000    3.104	1
   92.000   30.000    0.000    3.359	1
   92.000   29.500    0.000    3.690	1
   92.000   29.000    0.000    3.026	1
   92.000   28.500    0.000    3.217	0
   92.000   28.000    0.000    3.315	0
   92.500   32.500    0.000    3.323	0
   92.500   32.000    0.000    3.511	0
   92.500   31.500    0.000    3.288	1
   92.500   31.000    0.000    3.469	1
   92.500   30.500    0.000    3.393	1
   92.500   30.000    0.000    3.093	1
   92.500   29.500    0.000    3.091	1
   92.500   29.000    0.000    3.154	1
   92.500   28.500    0.000    3.325	0
   92.500   28.000    0.000    3.336	0
   93.000   32.500    0.000    3.331	0
   93.000   32.000    0.000    3.447	1
   93.000   31.500    0.000    3.162	1
   93.000   31.000    0.000    3.392	1
   93.000   30.500    0.000    3.456	1
   93.000   30.000    0.000    3.335	1
   93.000   29.500    0.000    3.478	1
